 324.03 -0.007738439475079 -0.007868712655346  0.152398520769682 -0.000002193092929 -0.151398164375052 0.155014677765027
 322.79 -0.007807054781944 -0.007939695742322  0.152189103939844 -0.000002253557584 -0.151180601838490 0.154826308170798
 321.56 -0.007876083313967 -0.008011131862596  0.151980326030213 -0.000002315630326 -0.150963607198351 0.154638759505832
 320.34 -0.007945525897021 -0.008083022458931  0.151772186405128 -0.000002379367536 -0.150747179177013 0.154452032833513
 319.11 -0.008015383339347 -0.008155368965085  0.151564684396895 -0.000002444799571 -0.150531316384095 0.154266129199013
 317.90 -0.008085656431328 -0.008228172805722  0.151357819305315 -0.000002511971534 -0.150316017442226 0.154081049647502
 316.68 -0.008156345945266 -0.008301435396257  0.151151590397521 -0.000002580931996 -0.150101280921994 0.153896795203334
 315.48 -0.008227452635145 -0.008375158142756  0.150945996907585 -0.000002651724326 -0.149887105341945 0.153713366862242
 314.27 -0.008298977236408 -0.008449342441806  0.150741038036180 -0.000002724398832 -0.149673489206748 0.153530765615618
 313.07 -0.008370920465725 -0.008523989680394  0.150536712950311 -0.000002799000615 -0.149460430967294 0.153348992443583
 311.88 -0.008443283020761 -0.008599101235782  0.150333020782998 -0.000002875578248 -0.149247929006821 0.153168048288958
 310.69 -0.008516065579950 -0.008674678475389  0.150129960632906 -0.000002954192446 -0.149035981705098 0.152987934094566
 309.50 -0.008589268802259 -0.008750722756678  0.149927531564030 -0.000003034879639 -0.148824587374238 0.152808650778075
 308.32 -0.008662893326957 -0.008827235427013  0.149725732605454 -0.000003117705746 -0.148613744305540 0.152630199246745
 307.15 -0.008736939773385 -0.008904217823572  0.149524562750918 -0.000003202717605 -0.148403450726114 0.152452580381816
 305.97 -0.008811408740723 -0.008981671273201  0.149324020958528 -0.000003289979400 -0.148193704831850 0.152275795048916
 304.81 -0.008886300807753 -0.009059597092308  0.149124106150453 -0.000003379543173 -0.147984504764859 0.152099844103262
 303.64 -0.008961616532631 -0.009137996586740  0.148924817212598 -0.000003471466170 -0.147775848658577 0.151924728367114
 302.49 -0.009037356452647 -0.009216871051665  0.148726152994208 -0.000003565812576 -0.147567734542359 0.151750448658394
 301.33 -0.009113521083993 -0.009296221771464  0.148528112307611 -0.000003662641371 -0.147360160429946 0.151577005764666
 300.18 -0.009190110921529 -0.009376050019595  0.148330693927860 -0.000003762020209 -0.147153124329877 0.151404400466557
 299.04 -0.009267126438545 -0.009456357058494  0.148133896592362 -0.000003864009807 -0.146946624129257 0.151232633519537
 297.90 -0.009344568086525 -0.009537144139452  0.147937719000585 -0.000003968674347 -0.146740657703051 0.151061705643517
 296.76 -0.009422436294912 -0.009618412502495  0.147742159813722 -0.000004076090160 -0.146535222924488 0.150891617575755
 295.63 -0.009500731470867 -0.009700163376276  0.147547217654328 -0.000004186317959 -0.146330317534957 0.150722369992792
